RUN	pokemonapi.PokemonTestApi	pokemontestapi	1720996390955	 	3.11.5
REQUEST		Get ditto	1720996394303	1720996394335	OK	 
USER	Prokemon API Test	END	1720996394336
USER	Prokemon API Test	START	1720996394336
REQUEST		Get pikachu	1720996394337	1720996394389	OK	 
USER	Prokemon API Test	END	1720996394393
USER	Prokemon API Test	START	1720996394393
REQUEST		Get charmander	1720996394393	1720996394446	OK	 
USER	Prokemon API Test	END	1720996394459
USER	Prokemon API Test	START	1720996394459
REQUEST		Get psyduck	1720996394460	1720996394508	OK	 
USER	Prokemon API Test	END	1720996394512
USER	Prokemon API Test	START	1720996394512
REQUEST		Get butterfree	1720996394512	1720996394561	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996394564
USER	Prokemon API Test	START	1720996394565
REQUEST		Get onix	1720996394565	1720996394617	OK	 
USER	Prokemon API Test	END	1720996394619
USER	Prokemon API Test	START	1720996394620
REQUEST		Get ditto	1720996394620	1720996394668	OK	 
USER	Prokemon API Test	END	1720996394669
USER	Prokemon API Test	START	1720996394670
REQUEST		Get pikachu	1720996394670	1720996394719	OK	 
USER	Prokemon API Test	END	1720996394722
USER	Prokemon API Test	START	1720996394722
REQUEST		Get charmander	1720996394723	1720996394774	OK	 
USER	Prokemon API Test	END	1720996394777
USER	Prokemon API Test	START	1720996394778
REQUEST		Get psyduck	1720996394778	1720996394828	OK	 
USER	Prokemon API Test	END	1720996394831
USER	Prokemon API Test	START	1720996394832
REQUEST		Get butterfree	1720996394832	1720996394875	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996394878
USER	Prokemon API Test	START	1720996394878
REQUEST		Get onix	1720996394879	1720996394936	OK	 
USER	Prokemon API Test	END	1720996394939
USER	Prokemon API Test	START	1720996394940
REQUEST		Get ditto	1720996394940	1720996394969	OK	 
USER	Prokemon API Test	END	1720996394970
USER	Prokemon API Test	START	1720996394970
REQUEST		Get pikachu	1720996394971	1720996395030	OK	 
USER	Prokemon API Test	END	1720996395033
USER	Prokemon API Test	START	1720996395033
REQUEST		Get charmander	1720996395034	1720996395079	OK	 
USER	Prokemon API Test	END	1720996395082
USER	Prokemon API Test	START	1720996395082
REQUEST		Get psyduck	1720996395083	1720996395135	OK	 
USER	Prokemon API Test	END	1720996395139
USER	Prokemon API Test	START	1720996395139
REQUEST		Get butterfree	1720996395139	1720996395194	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996395198
USER	Prokemon API Test	START	1720996395198
REQUEST		Get onix	1720996395199	1720996395249	OK	 
USER	Prokemon API Test	END	1720996395252
USER	Prokemon API Test	START	1720996395252
REQUEST		Get ditto	1720996395253	1720996395293	OK	 
USER	Prokemon API Test	END	1720996395294
USER	Prokemon API Test	START	1720996395295
REQUEST		Get pikachu	1720996395295	1720996395345	OK	 
USER	Prokemon API Test	END	1720996395348
USER	Prokemon API Test	START	1720996395349
REQUEST		Get charmander	1720996395349	1720996395399	OK	 
USER	Prokemon API Test	END	1720996395403
USER	Prokemon API Test	START	1720996395403
REQUEST		Get psyduck	1720996395404	1720996395456	OK	 
USER	Prokemon API Test	END	1720996395460
USER	Prokemon API Test	START	1720996395460
REQUEST		Get butterfree	1720996395461	1720996395519	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996395522
USER	Prokemon API Test	START	1720996395522
REQUEST		Get onix	1720996395522	1720996395571	OK	 
USER	Prokemon API Test	END	1720996395576
USER	Prokemon API Test	START	1720996395576
REQUEST		Get ditto	1720996395576	1720996395612	OK	 
USER	Prokemon API Test	END	1720996395613
USER	Prokemon API Test	START	1720996395613
REQUEST		Get pikachu	1720996395614	1720996395672	OK	 
USER	Prokemon API Test	END	1720996395676
USER	Prokemon API Test	START	1720996395677
REQUEST		Get charmander	1720996395677	1720996395724	OK	 
USER	Prokemon API Test	END	1720996395728
USER	Prokemon API Test	START	1720996395728
REQUEST		Get psyduck	1720996395728	1720996395780	OK	 
USER	Prokemon API Test	END	1720996395784
USER	Prokemon API Test	START	1720996395784
REQUEST		Get butterfree	1720996395784	1720996395829	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996395832
USER	Prokemon API Test	START	1720996395832
REQUEST		Get onix	1720996395832	1720996395888	OK	 
USER	Prokemon API Test	END	1720996395891
USER	Prokemon API Test	START	1720996395891
REQUEST		Get ditto	1720996395892	1720996395923	OK	 
USER	Prokemon API Test	END	1720996395924
USER	Prokemon API Test	START	1720996395925
REQUEST		Get pikachu	1720996395925	1720996395976	OK	 
USER	Prokemon API Test	END	1720996395981
USER	Prokemon API Test	START	1720996395981
REQUEST		Get charmander	1720996395982	1720996396031	OK	 
USER	Prokemon API Test	END	1720996396035
USER	Prokemon API Test	START	1720996396035
REQUEST		Get psyduck	1720996396036	1720996396090	OK	 
USER	Prokemon API Test	END	1720996396094
USER	Prokemon API Test	START	1720996396094
REQUEST		Get butterfree	1720996396095	1720996396154	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996396157
USER	Prokemon API Test	START	1720996396157
REQUEST		Get onix	1720996396157	1720996396219	OK	 
USER	Prokemon API Test	END	1720996396224
USER	Prokemon API Test	START	1720996396224
REQUEST		Get ditto	1720996396225	1720996396266	OK	 
USER	Prokemon API Test	END	1720996396267
USER	Prokemon API Test	START	1720996396267
REQUEST		Get pikachu	1720996396267	1720996396321	OK	 
USER	Prokemon API Test	END	1720996396324
USER	Prokemon API Test	START	1720996396324
REQUEST		Get charmander	1720996396325	1720996396382	OK	 
USER	Prokemon API Test	END	1720996396386
USER	Prokemon API Test	START	1720996396386
REQUEST		Get psyduck	1720996396386	1720996396465	OK	 
USER	Prokemon API Test	END	1720996396469
USER	Prokemon API Test	START	1720996396469
REQUEST		Get butterfree	1720996396469	1720996396515	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996396518
USER	Prokemon API Test	START	1720996396518
REQUEST		Get onix	1720996396519	1720996396561	OK	 
USER	Prokemon API Test	END	1720996396564
USER	Prokemon API Test	START	1720996396564
REQUEST		Get ditto	1720996396565	1720996396609	OK	 
USER	Prokemon API Test	END	1720996396611
USER	Prokemon API Test	START	1720996396611
REQUEST		Get pikachu	1720996396611	1720996396658	OK	 
USER	Prokemon API Test	END	1720996396661
USER	Prokemon API Test	START	1720996396661
REQUEST		Get charmander	1720996396662	1720996396709	OK	 
USER	Prokemon API Test	END	1720996396713
USER	Prokemon API Test	START	1720996396713
REQUEST		Get psyduck	1720996396713	1720996396784	OK	 
USER	Prokemon API Test	END	1720996396789
USER	Prokemon API Test	START	1720996396789
REQUEST		Get butterfree	1720996396790	1720996396856	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996396860
USER	Prokemon API Test	START	1720996396860
REQUEST		Get onix	1720996396860	1720996396908	OK	 
USER	Prokemon API Test	END	1720996396910
USER	Prokemon API Test	START	1720996396911
REQUEST		Get ditto	1720996396911	1720996396973	OK	 
USER	Prokemon API Test	END	1720996396974
USER	Prokemon API Test	START	1720996396974
REQUEST		Get pikachu	1720996396974	1720996397025	OK	 
USER	Prokemon API Test	END	1720996397028
USER	Prokemon API Test	START	1720996397028
REQUEST		Get charmander	1720996397028	1720996397081	OK	 
USER	Prokemon API Test	END	1720996397086
USER	Prokemon API Test	START	1720996397086
REQUEST		Get psyduck	1720996397086	1720996397135	OK	 
USER	Prokemon API Test	END	1720996397139
USER	Prokemon API Test	START	1720996397139
REQUEST		Get butterfree	1720996397140	1720996397187	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996397197
USER	Prokemon API Test	START	1720996397197
REQUEST		Get onix	1720996397198	1720996397248	OK	 
USER	Prokemon API Test	END	1720996397251
USER	Prokemon API Test	START	1720996397252
REQUEST		Get ditto	1720996397252	1720996397284	OK	 
USER	Prokemon API Test	END	1720996397285
USER	Prokemon API Test	START	1720996397286
REQUEST		Get pikachu	1720996397286	1720996397348	OK	 
USER	Prokemon API Test	END	1720996397351
USER	Prokemon API Test	START	1720996397351
REQUEST		Get charmander	1720996397352	1720996397405	OK	 
USER	Prokemon API Test	END	1720996397408
USER	Prokemon API Test	START	1720996397408
REQUEST		Get psyduck	1720996397408	1720996397475	OK	 
USER	Prokemon API Test	END	1720996397478
USER	Prokemon API Test	START	1720996397478
REQUEST		Get butterfree	1720996397479	1720996397536	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996397538
USER	Prokemon API Test	START	1720996397538
REQUEST		Get onix	1720996397539	1720996397611	OK	 
USER	Prokemon API Test	END	1720996397614
USER	Prokemon API Test	START	1720996397614
REQUEST		Get ditto	1720996397614	1720996397645	OK	 
USER	Prokemon API Test	END	1720996397646
USER	Prokemon API Test	START	1720996397647
REQUEST		Get pikachu	1720996397647	1720996397702	OK	 
USER	Prokemon API Test	END	1720996397705
USER	Prokemon API Test	START	1720996397705
REQUEST		Get charmander	1720996397706	1720996397751	OK	 
